Date : 2020-06-16 22:21:51
Directory : c:\Users\gorka\workspace\WacLine\input
Total : 316 files,  100543 codes, 9570 comments, 6003 blanks, all 116116 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\locale.properties                                                                     | Properties   |        208 |          0 |        105 |        313 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\lt\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\lv\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\mai\viewer.properties                                                                 | Properties   |         97 |         56 |         16 |        169 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\mk\viewer.properties                                                                  | Properties   |         62 |         56 |         16 |        134 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ml\viewer.properties                                                                  | Properties   |         97 |         56 |         16 |        169 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\mn\viewer.properties                                                                  | Properties   |         11 |         56 |         16 |         83 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\mr\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ms\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\my\viewer.properties                                                                  | Properties   |        109 |         56 |         16 |        181 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\nb-NO\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\nl\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\nn-NO\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\nso\viewer.properties                                                                 | Properties   |         59 |         56 |         16 |        131 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\oc\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\or\viewer.properties                                                                  | Properties   |         96 |         56 |         16 |        168 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\pa-IN\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\pl\viewer.properties                                                                  | Properties   |        113 |          3 |         16 |        132 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\pt-BR\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\pt-PT\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\rm\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ro\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ru\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\rw\viewer.properties                                                                  | Properties   |         10 |         56 |         16 |         82 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\sah\viewer.properties                                                                 | Properties   |         95 |         56 |         16 |        167 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\si\viewer.properties                                                                  | Properties   |        100 |         56 |         16 |        172 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\sk\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\sl\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\son\viewer.properties                                                                 | Properties   |        109 |         56 |         16 |        181 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\sq\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\sr\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\sv-SE\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\sw\viewer.properties                                                                  | Properties   |         57 |         56 |         16 |        129 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ta-LK\viewer.properties                                                               | Properties   |          6 |         56 |         16 |         78 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ta\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\te\viewer.properties                                                                  | Properties   |        112 |         56 |         16 |        184 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\th\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\tl\viewer.properties                                                                  | Properties   |         42 |         56 |         16 |        114 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\tn\viewer.properties                                                                  | Properties   |         12 |         56 |         16 |         84 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\tr\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\uk\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ur\viewer.properties                                                                  | Properties   |        107 |         56 |         16 |        179 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\vi\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\wo\viewer.properties                                                                  | Properties   |         53 |         56 |         16 |        125 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\xh\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\zh-CN\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\zh-TW\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\zu\viewer.properties                                                                  | Properties   |         60 |         56 |         16 |        132 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\viewer.css                                                                                   | CSS          |      1,973 |         34 |        270 |      2,277 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\viewer.html                                                                                  | HTML         |        302 |         22 |         39 |        363 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\viewer.js                                                                                    | JavaScript   |      9,784 |         67 |        636 |     10,487 |
| c:\Users\gorka\workspace\WacLine\input\app\content\plainTextFileViewer\index.html                                                                         | HTML         |         11 |          0 |          1 |         12 |
| c:\Users\gorka\workspace\WacLine\input\app\content\plainTextFileViewer\index.js                                                                           | JavaScript   |         10 |          0 |          3 |         13 |
| c:\Users\gorka\workspace\WacLine\input\app\images\arrowDown.svg                                                                                           | XML          |          1 |          0 |          0 |          1 |
| c:\Users\gorka\workspace\WacLine\input\app\images\arrowLeft.svg                                                                                           | XML          |          1 |          0 |          0 |          1 |
| c:\Users\gorka\workspace\WacLine\input\app\images\arrowRight.svg                                                                                          | XML          |          1 |          0 |          0 |          1 |
| c:\Users\gorka\workspace\WacLine\input\app\images\arrowUp.svg                                                                                             | XML          |          1 |          0 |          0 |          1 |
| c:\Users\gorka\workspace\WacLine\input\app\images\googleSheet.svg                                                                                         | XML          |         15 |          0 |          1 |         16 |
| c:\Users\gorka\workspace\WacLine\input\app\images\microsoftWord.svg                                                                                       | XML          |          1 |          0 |          0 |          1 |
| c:\Users\gorka\workspace\WacLine\input\app\images\moodle.svg                                                                                              | XML          |          4 |          0 |          1 |          5 |
| c:\Users\gorka\workspace\WacLine\input\app\manifest.json                                                                                                  | JSON         |         38 |         79 |          0 |        117 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\filePermission.html                                                                                      | HTML         |         30 |          1 |          3 |         34 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\options.html                                                                                             | HTML         |        104 |          4 |          6 |        114 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\popup.html                                                                                               | HTML         |         11 |          0 |          1 |         12 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\sidebar\finalGrade.html                                                                                  | HTML         |          3 |          0 |          2 |          5 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\sidebar\groupSelection.html                                                                              | HTML         |         32 |          0 |          1 |         33 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\sidebar\sidebar.html                                                                                     | HTML         |         10 |          0 |          2 |         12 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\sidebar\tagWrapper.html                                                                                  | HTML         |          4 |          0 |          1 |          5 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\sidebar\toolset.html                                                                                     | HTML         |          9 |          0 |          1 |         10 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\sidebar\userFilterWrapper.html                                                                           | HTML         |         19 |          0 |          2 |         21 |
| c:\Users\gorka\workspace\WacLine\input\app\pages\specific\reviewCanvas.html                                                                               | HTML         |         34 |          0 |          5 |         39 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\BrowserStorageSearch.js                                                                                | JavaScript   |         89 |         10 |          8 |        107 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\Config.js                                                                                              | JavaScript   |         39 |         15 |          3 |         57 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\Events.js                                                                                              | JavaScript   |         53 |         40 |          2 |         95 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\acmContentScript.js                                                                                    | JavaScript   |         63 |         15 |          7 |         85 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\Annotation.js                                                                     | JavaScript   |        128 |         35 |          6 |        169 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\AnnotationManagement.js                                                           | JavaScript   |        157 |         27 |         11 |        195 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\DeleteAnnotation.js                                                               | JavaScript   |         72 |         11 |          9 |         92 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\UpdateAnnotation.js                                                               | JavaScript   |         43 |          6 |          7 |         56 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\create\CreateAnnotation.js                                                        | JavaScript   |        143 |         30 |         12 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\Assessing.js                                                             | JavaScript   |         21 |          0 |          8 |         29 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\Body.js                                                                  | JavaScript   |         18 |          0 |          6 |         24 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\Classifying.js                                                           | JavaScript   |         50 |          5 |          8 |         63 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\Commenting.js                                                            | JavaScript   |         18 |          0 |          7 |         25 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\CommentingForm.js                                                        | JavaScript   |        302 |         97 |         12 |        411 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\GradingForm.js                                                           | JavaScript   |         64 |         12 |          9 |         85 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\PreviousAssignments.js                                                   | JavaScript   |         96 |          8 |          9 |        113 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\ReplyAnnotation.js                                                       | JavaScript   |         61 |         20 |          7 |         88 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\purposes\SuggestingLiterature.js                                                  | JavaScript   |         18 |          0 |          7 |         25 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\AnnotationList.js                                                            | JavaScript   |          9 |          3 |          4 |         16 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\Canvas.js                                                                    | JavaScript   |        142 |          6 |         13 |        161 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\FinalGrade.js                                                                | JavaScript   |         31 |          0 |          7 |         38 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\GoogleSheetGenerator.js                                                      | JavaScript   |        473 |         51 |         19 |        543 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\MoodleComment.js                                                             | JavaScript   |         53 |          3 |          6 |         62 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\MoodleReport.js                                                              | JavaScript   |        211 |         23 |         11 |        245 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\ReadAnnotation.js                                                            | JavaScript   |        450 |        174 |         38 |        662 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\Resume.js                                                                    | JavaScript   |         10 |          0 |          2 |         12 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\Screenshots.js                                                               | JavaScript   |         79 |         14 |          5 |         98 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\TextSummary.js                                                               | JavaScript   |         23 |          1 |          3 |         27 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationManagement\read\UserFilter.js                                                                | JavaScript   |        188 |         35 |         19 |        242 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\AnnotationServer.js                                                                   | JavaScript   |          6 |          0 |          2 |          8 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\AnnotationServerManager.js                                                            | JavaScript   |         36 |          0 |          8 |         44 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\browserStorage\BrowserStorage.js                                                      | JavaScript   |          7 |          0 |          3 |         10 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\browserStorage\BrowserStorageClient.js                                                | JavaScript   |        394 |         57 |         23 |        474 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\browserStorage\BrowserStorageManager.js                                               | JavaScript   |         64 |          5 |          7 |         76 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\browserStorage\EmptyDatabase.json                                                     | JSON         |          9 |          0 |          2 |         11 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\hypothesis\Hypothesis.js                                                              | JavaScript   |          7 |          0 |          3 |         10 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\hypothesis\HypothesisClientManager.js                                                 | JavaScript   |        124 |          4 |         13 |        141 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\neo4j\Neo4JClient.js                                                                  | JavaScript   |        676 |        186 |         55 |        917 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\annotationServer\neo4j\Neo4JClientManager.js                                                           | JavaScript   |        127 |         12 |         11 |        150 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background.js                                                                                          | JavaScript   |        117 |         44 |         20 |        181 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\AnnotationServerManager.js                                                                  | JavaScript   |         39 |          1 |          4 |         44 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\GoogleSheetsManager.js                                                                      | JavaScript   |        100 |          3 |          4 |        107 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\HypothesisManager.js                                                                        | JavaScript   |        122 |         12 |         14 |        148 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\MoodleBackgroundManager.js                                                                  | JavaScript   |        164 |          7 |          5 |        176 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\MoodleDownloadManager.js                                                                    | JavaScript   |        132 |         13 |          8 |        153 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\Neo4JManager.js                                                                             | JavaScript   |         36 |          0 |          4 |         40 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\TargetManager.js                                                                            | JavaScript   |         28 |         97 |          5 |        130 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\TaskManager.js                                                                              | JavaScript   |        141 |         13 |         15 |        169 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\tasks\CreateHighlighterTask.js                                                              | JavaScript   |        110 |        284 |          7 |        401 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\background\tasks\Task.js                                                                               | JavaScript   |          6 |          0 |          2 |          8 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\CodebookManager.js                                                                            | JavaScript   |         42 |         41 |          5 |         88 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\model\Code.js                                                                                 | JavaScript   |         99 |         15 |         10 |        124 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\model\Codebook.js                                                                             | JavaScript   |        335 |         91 |         20 |        446 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\model\Theme.js                                                                                | JavaScript   |        197 |         53 |         17 |        267 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\CreateCodebook.js                                                           | JavaScript   |         83 |         19 |          7 |        109 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\builtIn\BuiltIn.js                                                          | JavaScript   |         25 |          5 |          3 |         33 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\builtIn\BuiltInCodebookScheme.json                                          | JSON         |         23 |          0 |          1 |         24 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\emptyCodebook\EmptyCodebook.js                                              | JavaScript   |         22 |          1 |          3 |         26 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\googleSheetsProvider\GSheetParser.js                                        | JavaScript   |         77 |          6 |          7 |         90 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\googleSheetsProvider\GSheetProvider.js                                      | JavaScript   |        112 |         16 |          7 |        135 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\googleSheetsProvider\GroupInitializer.js                                    | JavaScript   |        131 |         12 |          7 |        150 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\MoodleProvider.js                                            | JavaScript   |        242 |         30 |         11 |        283 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\MoodleScraping.js                                            | JavaScript   |         54 |         17 |          3 |         74 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleAugmentation.js                           | JavaScript   |         19 |          2 |          3 |         24 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleGraderAugmentation.js                     | JavaScript   |         88 |          6 |         13 |        107 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleGradingAugmentation.js                    | JavaScript   |         32 |          6 |          6 |         44 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleViewPluginAssignSubmissionAugmentation.js | JavaScript   |         21 |          3 |          6 |         30 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\noCodebook\NoCodebook.js                                                    | JavaScript   |         25 |          5 |          3 |         33 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\noCodebook\NoCodebookScheme.json                                            | JSON         |          9 |          0 |          1 |         10 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\publicPrivate\PublicPrivate.js                                              | JavaScript   |         29 |          4 |          5 |         38 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\delete\DeleteCodebook.js                                                           | JavaScript   |         43 |          3 |          7 |         53 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\delete\DeleteGroup.js                                                              | JavaScript   |         20 |          5 |          3 |         28 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\export\ExportCodebook.js                                                           | JavaScript   |         33 |          3 |          7 |         43 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\export\ExportCodebookJSON.js                                                       | JavaScript   |         31 |          2 |          4 |         37 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\import\ImportCodebook.js                                                           | JavaScript   |         33 |          3 |          7 |         43 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\import\ImportCodebookJSON.js                                                       | JavaScript   |        106 |         10 |          6 |        122 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\read\Buttons.js                                                                    | JavaScript   |        297 |         26 |          8 |        331 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\read\ReadCodebook.js                                                               | JavaScript   |        549 |        255 |         37 |        841 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\update\RenameCodebook.js                                                           | JavaScript   |         64 |          6 |          7 |         77 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\update\UpdateCodebook.js                                                           | JavaScript   |        368 |         70 |         27 |        465 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript.js                                                                                       | JavaScript   |         63 |          9 |          2 |         74 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\AnnotatedContentManager.js                                                               | JavaScript   |        359 |         86 |         27 |        472 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\AnnotationBasedInitializer.js                                                            | JavaScript   |         56 |          4 |          6 |         66 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\ContentScriptManager.js                                                                  | JavaScript   |        320 |         92 |         30 |        442 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\ModeManager.js                                                                           | JavaScript   |         98 |          5 |         13 |        116 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\RolesManager.js                                                                          | JavaScript   |         58 |          2 |          7 |         67 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\Sidebar.js                                                                               | JavaScript   |         76 |          3 |         12 |         91 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\Toolset.js                                                                               | JavaScript   |        182 |         89 |         13 |        284 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\docxExporter\DocxExporter.js                                                                           | JavaScript   |         95 |          8 |         17 |        120 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\exporter\reviewModel.js                                                                                | JavaScript   |        249 |        217 |         16 |        482 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\googleSheetsContentScript.js                                                                           | JavaScript   |         22 |          3 |          2 |         27 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\googleSheets\GoogleSheetClient.js                                                                      | JavaScript   |        245 |         37 |         15 |        297 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\googleSheets\GoogleSheetsClientManager.js                                                              | JavaScript   |         97 |         11 |         10 |        118 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\groupManipulation\GroupSelector.js                                                                     | JavaScript   |        509 |        145 |         34 |        688 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\hypothesisGroupContentScript.js                                                                        | JavaScript   |         37 |          6 |          3 |         46 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\importExport\AnnotationExporter.js                                                                     | JavaScript   |         23 |          7 |          3 |         33 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\importExport\AnnotationImporter.js                                                                     | JavaScript   |        123 |         18 |          4 |        145 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodleAssignmentAddContentScript.js                                                                    | JavaScript   |         14 |          2 |          3 |         19 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodleContentScript.js                                                                                 | JavaScript   |         25 |          4 |          2 |         31 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\APISimulation.js                                                                                | JavaScript   |        181 |         21 |         15 |        217 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\BackToWorkspace.js                                                                              | JavaScript   |         16 |          0 |          3 |         19 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleClient.js                                                                                 | JavaScript   |        120 |          0 |         11 |        131 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleClientManager.js                                                                          | JavaScript   |        119 |          3 |         16 |        138 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleFunctions.js                                                                              | JavaScript   |         25 |          0 |          4 |         29 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleUtils.js                                                                                  | JavaScript   |          6 |          0 |          2 |          8 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\options.js                                                                                             | JavaScript   |          5 |          2 |          3 |         10 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\options\Options.js                                                                                     | JavaScript   |        203 |         38 |         14 |        255 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\popup.js                                                                                               | JavaScript   |          7 |          1 |          3 |         11 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\popup\Popup.js                                                                                         | JavaScript   |         22 |          2 |          4 |         28 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\scienceDirectContentScript.js                                                                          | JavaScript   |         54 |         17 |          4 |         75 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\springerContentScript.js                                                                               | JavaScript   |         74 |         17 |          8 |         99 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\target\TargetManager.js                                                                                | JavaScript   |        350 |         70 |         27 |        447 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\target\formats\HTML.js                                                                                 | JavaScript   |          4 |          0 |          1 |          5 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\target\formats\PDF.js                                                                                  | JavaScript   |          4 |          0 |          1 |          5 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\target\formats\TXT.js                                                                                  | JavaScript   |          4 |          0 |          1 |          5 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\Alerts.js                                                                                        | JavaScript   |        270 |          0 |         18 |        288 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\AnnotationUtils.js                                                                               | JavaScript   |         78 |         12 |          8 |         98 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\ChromeStorage.js                                                                                 | JavaScript   |         23 |         17 |          6 |         46 |
| c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\ColorUtils.js                                                                                    | JavaScript   |         46 |          0 |         10 |         56 |
